_id,firstname,lastname,age,size,alive,timestamp,date_of_birth,licence_date,certificate_date,year_inserted,month_inserted,day_inserted,address_number,street_name,postcode,city,country
5f9a01a2091ff69f8d3fb25c,Gary,Acosta,100,179.97,true,1514086829,1972-12-29,03-7-2011,1991-04-07T08:27:13,2016,01,27,9545,Delgado Parkways,33468,Gilltown,Singapore
5f9a01a2091ff69f8d3fb25d,Haley,Herman,51,168.34,true,398677828,1995-12-19,12-24-1978,1985-09-25T21:58:21,2006,10,11,3069,Joseph Fork,12289,Mcneilhaven,Kenya
5f9a01a2091ff69f8d3fb25e,Gregory,Ruiz,104,199.25,false,853415966,1995-12-15,10-10-1980,1990-06-02T08:54:48,1992,10,1,9706,Willis Cliffs,97933,Perezmouth,Tokelau
5f9a01a2091ff69f8d3fb25f,David,White,5,165.7,true,945153041,2002-05-09,02-5-2013,2009-12-19T20:06:18,2016,06,18,98687,John Springs,20885,Rodriguezfurt,Pakistan
5f9a01a2091ff69f8d3fb260,Daniel,Christensen,41,198.9,true,914748080,2014-09-27,11-21-1988,1979-06-12T19:44:11,1984,08,8,761,Matthews Mountain,61985,Dannymouth,Tanzania
5f9a01a2091ff69f8d3fb261,Patricia,Manning,47,191.61,false,239671723,1985-03-08,06-2-2001,2005-11-09T05:27:11,2005,02,18,270,Garcia Divide,52188,Nicoleview,Congo
5f9a01a2091ff69f8d3fb262,Diana,Hughes,25,195.92,false,548342449,2005-04-15,10-8-1982,2005-01-11T20:00:57,1994,03,4,1562,Ashley Green,04985,Timstad,Cuba
5f9a01a2091ff69f8d3fb263,Joseph,Davis,58,173.89,false,695922991,1988-02-27,11-22-1994,1984-09-01T14:04:27,2001,10,24,26293,Roth Manors,50090,New Donnaton,British Virgin Islands
5f9a01a2091ff69f8d3fb264,Jo,Thomas,79,187.83,true,1139104325,1984-09-30,12-10-1991,1992-10-18T05:57:14,1972,04,3,939,Christine Way,44011,North Joseph,Fiji
5f9a01a2091ff69f8d3fb265,Danny,Mckay,77,174.39,true,1263762221,1999-06-23,04-18-1994,2017-09-18T23:26:10,1980,01,28,65247,Salazar Key,88638,North Roy,Lesotho
5f9a01a2091ff69f8d3fb266,Anthony,Butler,67,197.56,true,249630668,2004-07-03,02-30-1991,1986-12-25T14:05:35,2013,01,28,71378,Andrew Station,07915,Port Jason,Botswana
5f9a01a2091ff69f8d3fb267,Mary,Jackson,71,161.36,false,725371635,1974-03-04,01-6-1996,2016-11-07T05:51:23,2003,04,26,8537,Guzman Plains,30365,East Randy,Brazil
5f9a01a2091ff69f8d3fb268,Keith,Sandoval,54,170.19,false,1380390133,2019-03-17,04-3-1978,1986-02-01T10:12:27,2003,04,1,3388,Williams Squares,50619,North Tanyabury,Haiti
5f9a01a2091ff69f8d3fb269,Robert,Boyle,94,172.14,false,1013401069,1970-12-06,04-19-1979,1984-12-14T00:10:20,2001,02,11,5636,Stephanie Gardens,46337,West Dawnhaven,Mayotte
